Bacillus Subtilis 168,,,,,,,,
Competition Assay,,,,,,,,
,,,,,,,,
,T0 (*10E4),,,Day1( 10E6),,,r(Anc vs RifRes) ,W(Anc vs RifRes)
Sample,CFU on MURI,CFU Rif50,CFU Ancestor,CFU on MURI,CFU Rif50,CFU Ancestor,,
1-1,121,55,66,309,134,175,0.1,1.0
1-2,155,64,91,230,80,150,0.3,1.1
1-3,112,43,69,245,105,140,-0.2,1.0
1-4,145,62,83,223,90,133,0.1,1.0
1-5,132,64,68,168,93,75,-0.3,0.9
2-1,112,46,66,202,73,129,0.2,1.0
2-2,139,62,77,257,100,157,0.2,1.0
2-3,115,56,59,243,101,142,0.3,1.1
2-4,185,60,125,234,103,131,-0.5,0.9
2-5,110,46,64,235,108,127,-0.2,1.0
3-1,105,43,62,176,74,102,0.0,1.0
3-2,148,47,101,247,115,132,-0.6,0.9
3-3,121,49,72,183,75,108,0.0,1.0
3-4,135,54,81,137,53,84,0.1,1.0
3-5,139,67,72,165,73,92,0.2,1.0
,,,,,,Mean,-0.027,0.996
,,,,,,SD,0.276,0.053