Deinococcus sp.,,,,,,,,
Competition Assay,,,,,,,,
,,,,,,,,
,T0 (*10E3),,,Day1( 10E5),,,r(Anc vs RifRes) ,W(Anc vs RifRes)
Sample,CFU on MURI,CFU Rif50,CFU Ancestor,CFU on MURI,CFU Rif50,CFU Ancestor,,
1-1,185,115,70,160,61,99,1.0,1.2
1-2,110,62,48,510,200,310,0.7,1.1
1-3,,,,,,,,
1-4,,,,,,,,
1-5,,,,,,,,
2-1,540,290,250,440,270,170,-0.3,0.9
2-2,400,200,200,500,150,350,0.8,1.2
2-3,670,320,350,440,150,290,0.6,1.1
2-4,520,190,330,430,190,240,-0.3,0.9
2-5,580,410,170,340,140,200,1.2,1.4
3-1,380,21,359,460,162,298,-2.2,0.7
3-2,130,77,53,315,125,190,0.8,1.2
3-3,350,250,100,40,10,30,2.0,2.5
3-4,,,0,,,,,
3-5,370,194,176,270,115,155,0.4,1.1
,,,,,,Mean,0.425,1.209
,,,,,,SD,1.098,0.453