Pedobacter,,,,,,
Competition Assay,,,,,,
,,,,,,
,,,,,r(Anc vs RifRes) ,W(Anc vs RifRes)
Sample,CFU big,CFU Small,CFU big,CFU Small,,
1-1,54,21,152,74,0.2,1.0
1-2,54,21,105,70,0.5,0.9
1-3,41,9,85,24,0.3,1.0
1-4,102,38,61,20,-0.1,1.0
1-5,75,39,71,18,-0.7,1.2
2-1,16,9,100,40,-0.3,1.1
2-2,43,28,84,41,-0.3,1.1
2-3,160,100,36,21,-1.4,1.5
2-4,53,37,120,57,0.7,0.9
2-5,30,23,104,38,-0.2,1.0
3-1,35,23,123,53,-0.6,1.1
3-2,64,43,70,27,-1.2,1.3
3-3,93,59,42,10,-1.4,1.5
3-4,66,47,22,24,0.8,0.8
3-5,22,9,79,26,0.9,0.8
,,,,Mean,-0.182,1.068
,,,,SD,0.755,0.206