Competition Assay,,,,,,,,,,
,,,,,,,,,,
,T0 (*10E5),,,,Day1( 10E7),,,,r(Anc vs RifRes) ,W(Anc vs RifRes)
Sample,big CPU,small CPU,CPU on Rif+ plate,Mean,big CPU,small CPU,CPU on Rif+ plate,Mean,,
1-1,245,371,340,355.5,214,16,18,17,2.9,2.9
1-2,175,60,64,62,180,27,28,27.5,0.8,1.2
1-3,241,130,180,155,397,45,58,51.5,1.6,1.5
1-4,238,177,150,163.5,145,17,19,18,1.7,1.7
1-5,300,202,224,213,280,49,63,56,1.3,1.4
2-1,260,267,,267,285,29,34,31.5,2.2,1.9
2-2,245,101,130,115.5,320,53,69,61,0.9,1.2
2-3,300,106,130,118,365,50,51,50.5,1.0,1.3
2-4,239,135,128,131.5,180,34,47,40.5,0.9,1.3
2-5,247,111,,55.5,,,,,,
3-1,280,150,134,142,77,,87,87,-0.8,0.8
3-2,300,307,,307,162,11,16,13.5,2.5,2.7
3-3,320,197,,197,223,23,23,23,1.8,1.7
3-4,171,163,78,120.5,285,13,17,15,2.6,2.0
3-5,344,188,,188,110,25,24,24.5,0.9,1.3
,,,,,,,,Average,1.5,1.6
,,,,,,,,SD,1.0,0.6